Quarter,Date,Min_Wage_Weekly,ChartC_Fortnightly,ChartC_Weekly,Ratio_Percent,Ratio_Percent_1dp,Weekly_Gap,Dataset_Status,Source_Basis,Official_Lock_Date
1995 Q1,1995-03-31,333.4,743.6,371.8,89.67186659494351,89.7,38.400000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1995 Q2,1995-06-30,341.4,752.6,376.3,90.725484985384,90.7,34.900000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1995 Q3,1995-09-30,341.4,756.6,378.3,90.2458366375892,90.2,36.900000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1995 Q4,1995-12-31,341.4,776.2,388.1,87.96701880958516,88.0,46.700000000000045,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1996 Q1,1996-03-31,341.4,776.6,388.3,87.92171001802728,87.9,46.900000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1996 Q2,1996-06-30,349.4,790.0,395.0,88.45569620253164,88.5,45.60000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1996 Q3,1996-09-30,349.4,794.0,397.0,88.01007556675063,88.0,47.60000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1996 Q4,1996-12-31,349.4,801.6,400.8,87.1756487025948,87.2,51.400000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1997 Q1,1997-03-31,349.4,801.6,400.8,87.1756487025948,87.2,51.400000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1997 Q2,1997-06-30,359.4,804.4,402.2,89.35852809547488,89.4,42.80000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1997 Q3,1997-09-30,359.4,806.4,403.2,89.13690476190476,89.1,43.80000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1997 Q4,1997-12-31,359.4,806.4,403.2,89.13690476190476,89.1,43.80000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1998 Q1,1998-03-31,359.4,806.4,403.2,89.13690476190476,89.1,43.80000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1998 Q2,1998-06-30,373.4,820.0,410.0,91.07317073170731,91.1,36.60000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
